+---------------+--------------+--------------+
| ID            |   Rank (581) |   Percentile |
|---------------+--------------+--------------|
| 2022A7PS0001P |          254 |    56.4544   |
| 2022A7PS0003P |           71 |    88.1239   |
| 2022A7PS0004P |          310 |    48.0207   |
| 2022A7PS0005P |          188 |    68.3305   |
| 2022A7PS0006P |          200 |    65.7487   |
| 2022A7PS0008P |          120 |    79.8623   |
| 2022A7PS0009P |          114 |    80.5508   |
| 2022A7PS0010P |          188 |    68.3305   |
| 2022A7PS0011P |          330 |    43.5456   |
| 2022A7PS0012P |          146 |    75.5594   |
| 2022A7PS0013P |          251 |    57.315    |
| 2022A7PS0014P |          282 |    52.1515   |
| 2022A4PS0015P |          276 |    52.8399   |
| 2022A7PS0016P |          164 |    72.2892   |
| 2022A7PS0017P |          183 |    68.8468   |
| 2022AAPS0019P |          514 |    11.8761   |
| 2022A8PS0020P |          564 |     3.09811  |
| 2022AAPS0021P |          458 |    21.5146   |
| 2022A3PS0022P |          464 |    20.4819   |
| 2022A3PS0023P |          488 |    16.3511   |
| 2022AAPS0025P |          106 |    82.2719   |
| 2022A4PS0026P |          534 |     8.43373  |
| 2022A3PS0027P |          559 |     3.95869  |
| 2022AAPS0028P |          517 |    11.5318   |
| 2022A7PS0031P |          538 |     7.74527  |
| 2022A7PS0033P |          478 |    18.2444   |
| 2022A3PS0034P |          294 |    49.9139   |
| 2022A7PS0035P |          430 |    26.1618   |
| 2022A7PS0036P |           52 |    91.3941   |
| 2022A7PS0037P |          442 |    24.0964   |
| 2022A7PS0038P |          168 |    71.2565   |
| 2022A7PS0041P |          538 |     7.74527  |
| 2022A7PS0042P |          420 |    27.883    |
| 2022A7PS0044P |          557 |     4.47504  |
| 2022A7PS0045P |            4 |    99.4836   |
| 2022A7PS0047P |          262 |    55.2496   |
| 2022A7PS0049P |            2 |    99.8279   |
| 2022A7PS0051P |          562 |     3.78657  |
| 2022A7PS0052P |          470 |    19.4492   |
| 2022A7PS0053P |          508 |    12.7367   |
| 2022A7PS0054P |          540 |     7.22892  |
| 2022A7PS0055P |           26 |    95.8692   |
| 2022A7PS0056P |           32 |    94.8365   |
| 2022A7PS0057P |          288 |    51.1188   |
| 2022A7PS0058P |          548 |     5.85198  |
| 2022A7PS0063P |          578 |     0.688468 |
| 2022A7PS0065P |          310 |    48.0207   |
| 2022A7PS0066P |          485 |    16.8675   |
| 2022A7PS0067P |          530 |     9.1222   |
| 2022A7PS0068P |          422 |    27.7108   |
| 2022A7PS0069P |          485 |    16.8675   |
| 2022A7PS0070P |           39 |    93.6317   |
| 2022A7PS0073P |          494 |    15.3184   |
| 2022A7PS0074P |           65 |    89.1566   |
